year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Bars And Taverns,Prepared Foods,Excess,Plate Waste,14438.42426,182026034.5,564.4406076,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Mistakes & Malfunctions,Cooking Issues,0,0,0,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Mistakes & Malfunctions,Equipment Issues,0,0,0,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Mistakes & Malfunctions,Handling Errors,0,0,0,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Other,Other,0,0,0,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Spoiled,Spoiled,0,0,0,0
2024,Foodservice,Bars And Taverns,Prepared Foods,Trimmings & Byproducts,Trimmings & Byproducts,0,0,0,0
2024,Foodservice,Bars And Taverns,Produce,Date Label Concerns,Date Label Concerns,131.3242325,520139.7709,28.87864942,0
2024,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Cooking Issues,42.62509919,168826.4907,9.373405596,42.62509919
2024,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Equipment Issues,0.786326031,3114.42476,0.172915793,0.786326031
2024,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Handling Errors,13.66338796,54116.9847,3.004625903,13.66338796
2024,Foodservice,Bars And Taverns,Produce,Other,Other,5.449784371,21585.1221,1.198426286,5.449784371
2024,Foodservice,Bars And Taverns,Produce,Spoiled,Spoiled,187.581578,742959.9028,41.24983277,187.581578
2024,Foodservice,Bars And Taverns,Produce,Trimmings & Byproducts,Trimmings & Byproducts,397.1180017,1572877.012,397.1180017,397.1180017
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Date Label Concerns,Date Label Concerns,259.4737639,295845.5178,0,0
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Mistakes & Malfunctions,Cooking Issues,0,0,0,0
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Mistakes & Malfunctions,Equipment Issues,0,0,0,0
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Mistakes & Malfunctions,Handling Errors,3.489341963,3978.460728,0,3.489341963
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Other,Other,17.61079595,20079.39057,0,17.61079595
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Spoiled,Spoiled,53.97429344,61540.14397,0,53.97429344
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,0.321474883,366.5376487,0.321474883,0.321474883
2024,Foodservice,Business & Industry,Breads & Bakery,Date Label Concerns,Date Label Concerns,431.7811414,2017861.026,0,0
2024,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,92.24053848,431071.6004,0,92.24053848
2024,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,101.0799485,472381.1884,0,101.0799485
2024,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,58.08491006,271450.6609,0,58.08491006
2024,Foodservice,Business & Industry,Breads & Bakery,Other,Other,33.28648141,155559.118,0,33.28648141
2024,Foodservice,Business & Industry,Breads & Bakery,Spoiled,Spoiled,268.8438149,1256399.143,0,268.8438149
2024,Foodservice,Business & Industry,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,863.9321325,4037450.486,863.9321325,863.9321325
2024,Foodservice,Business & Industry,Dairy & Eggs,Date Label Concerns,Date Label Concerns,742.3612667,2971017.895,6.56417465,0
2024,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,31.0007943,124068.8581,0.274118057,31.0007943
2024,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,870.7299747,3484764.7,7.699248173,870.7299747
2024,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,50.56279284,202358.2979,0.447090949,50.56279284
2024,Foodservice,Business & Industry,Dairy & Eggs,Other,Other,18.81599012,75303.82561,0.166376468,18.81599012
2024,Foodservice,Business & Industry,Dairy & Eggs,Spoiled,Spoiled,774.1633293,3098293.524,6.845377755,774.1633293
2024,Foodservice,Business & Industry,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,275.3599964,1102023.386,275.3599964,275.3599964
2024,Foodservice,Business & Industry,Dry Goods,Date Label Concerns,Date Label Concerns,1003.912388,3662666.843,0,0
2024,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Cooking Issues,340.004462,1240469.869,0,340.004462
2024,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Equipment Issues,117.9322124,430263.048,0,117.9322124
2024,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Handling Errors,290.0002318,1058034.79,0,290.0002318
2024,Foodservice,Business & Industry,Dry Goods,Other,Other,43.44231421,158494.6313,0,43.44231421
2024,Foodservice,Business & Industry,Dry Goods,Spoiled,Spoiled,909.7975007,3319298.753,0,909.7975007
2024,Foodservice,Business & Industry,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,3370.759032,12297853.36,3370.759032,3370.759032
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,513.2106584,4359507.029,72.30210062,0
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,93.40982063,793476.8363,13.15975446,93.40982063
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,394.9010019,3354516.64,55.63440959,394.9010019
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,130.3107159,1106934.302,18.35842326,130.3107159
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Other,Other,18.99380268,161344.3036,2.675883304,18.99380268
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Spoiled,Spoiled,971.5660808,8253042.076,136.8760905,971.5660808
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,2602.481705,22106979.07,2602.481705,2602.481705
2024,Foodservice,Business & Industry,Frozen,Date Label Concerns,Date Label Concerns,19.50540951,59957.40775,0.217361655,0
2024,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Cooking Issues,32.88309985,101078.9045,0.36643809,32.88309985
2024,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Equipment Issues,176.0902699,541281.4382,1.962290129,176.0902699
2024,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Handling Errors,45.72478924,140552.7954,0.509541513,45.72478924
2024,Foodservice,Business & Industry,Frozen,Other,Other,3.64871479,11215.73378,0.040660038,3.64871479
2024,Foodservice,Business & Industry,Frozen,Spoiled,Spoiled,0,0,0,0
2024,Foodservice,Business & Industry,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,1.312085655,4033.201895,1.312085655,1.312085655
2024,Foodservice,Business & Industry,Prepared Foods,Date Label Concerns,Date Label Concerns,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Excess,Catering Overproduction,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Excess,Overproduction,34375.28082,385223855.5,1343.831158,0
2024,Foodservice,Business & Industry,Prepared Foods,Excess,Plate Waste,172447.7282,1932521776,6741.490534,0
2024,Foodservice,Business & Industry,Prepared Foods,Mistakes & Malfunctions,Cooking Issues,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Mistakes & Malfunctions,Equipment Issues,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Mistakes & Malfunctions,Handling Errors,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Other,Other,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Spoiled,Spoiled,0,0,0,0
2024,Foodservice,Business & Industry,Prepared Foods,Trimmings & Byproducts,Trimmings & Byproducts,0,0,0,0
2024,Foodservice,Business & Industry,Produce,Date Label Concerns,Date Label Concerns,150.0820015,543169.597,33.0035472,0
2024,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Cooking Issues,29.6244811,107215.5042,6.514525062,29.6244811
2024,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Equipment Issues,21.13289832,76483.17418,4.647196867,21.13289832
2024,Foodservice,Business & Industry,Produce,Mistakes & Malfunctions,Handling Errors,31.46880677,113890.3994,6.920098607,31.46880677
2024,Foodservice,Business & Industry,Produce,Other,Other,11.21964784,40605.61247,2.467239064,11.21964784
2024,Foodservice,Business & Industry,Produce,Spoiled,Spoiled,266.6203299,964939.5375,58.63072556,266.6203299
2024,Foodservice,Business & Industry,Produce,Trimmings & Byproducts,Trimmings & Byproducts,3332.196984,12059727.84,3332.196984,3332.196984
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Date Label Concerns,Date Label Concerns,595.7706468,625757.0523,0,0
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Mistakes & Malfunctions,Cooking Issues,0.7532184,791.1294858,0,0.7532184
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Mistakes & Malfunctions,Equipment Issues,37.58559814,39477.36134,0,37.58559814
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Mistakes & Malfunctions,Handling Errors,12.95535647,13607.42716,0,12.95535647
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Other,Other,4.569524957,4799.51888,0,4.569524957
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Spoiled,Spoiled,70.70210044,74260.68773,0,70.70210044
2024,Foodservice,Business & Industry,Ready-To-Drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,1788.391553,1878405.109,1788.391553,1788.391553
2024,Foodservice,Caterers,Breads & Bakery,Date Label Concerns,Date Label Concerns,432.1524569,2019596.31,0,0
