year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2024,Foodservice,Colleges & Universities,Colleges/Universities,Dairy & Eggs,4085.36198,220029.233,16350103.51,3981.31172,3995.802588,3643.938618,512.3548445,89.55939144,0,14.51758327,0.587724102,687.9071374,0,358.3703736,0,2906.211126,28.23535911,0,17407.47771,1156.361261,18563.83897,225.1658429,55.74517202,280.9110149,1158987027,6659670.981
2024,Foodservice,Colleges & Universities,Colleges/Universities,Dry Goods,8983.746506,483846.196,32776237.08,8754.93908,8786.804626,6705.019205,1088.021539,196.9418803,0,31.9242918,1.292410409,1512.713775,0,788.0595666,0,6390.783528,62.08980012,0,24840.01304,4451.536049,29291.54909,82.42193672,222.2568507,304.6787874,1102859357,14644674.38
2024,Foodservice,Colleges & Universities,Colleges/Universities,Fresh Meat & Seafood,6986.12653,376258.4735,59344183.93,6808.196573,6832.976517,6197.183261,3376.569432,153.1500131,0,24.82562723,1.005030879,1176.347733,0,612.8271587,0,4969.733098,48.28355292,0,102171.6872,3461.032196,105632.7194,1218.265808,171.8435531,1390.109361,8149988317,11388294.19
2024,Foodservice,Colleges & Universities,Colleges/Universities,Frozen,412.7764463,22231.2944,1268827.793,402.2634252,403.7275523,0,0,9.048893957,0,1.466826308,0.059382416,69.50470117,0,36.20899445,0,293.6375055,2.852841744,0,1630.632518,181.7959825,1812.428501,21.71655376,9.036180888,30.75273465,139147231.8,672879.2539
2024,Foodservice,Colleges & Universities,Colleges/Universities,Prepared Foods,165413.1387,0,1946453178,163216.2683,163521.4465,0,6466.487674,1891.692185,0,305.4472774,5.918038917,23583.59057,0,14758.91043,0,119155.9676,5711.881601,0,739147.0696,80743.05454,819890.1242,6371.475055,3758.611328,10130.08638,78112769601,272535744.2
2024,Foodservice,Colleges & Universities,Colleges/Universities,Produce,5681.289922,305982.6449,20561452.58,5536.592904,5556.744564,4585.823599,3910.780804,124.5453574,0,20.18881066,0.81731583,956.6349092,0,498.3661182,0,4041.509188,39.2653728,0,12490.99547,1028.734935,13519.73041,28.64658044,46.522136,75.16871644,254483029,9261240.94
2024,Foodservice,Colleges & Universities,Colleges/Universities,Ready-To-Drink Beverages,3712.361363,199940.1833,3899212.416,3617.811071,3630.978899,2847.1213,2553.918999,81.38246405,0,13.1921028,0.534063875,625.1000255,0,325.6505384,0,2640.869022,25.65742197,0,18304.54312,2006.785924,20311.32904,97.88685843,99.73287264,197.6197311,99197893.3,6051631.498
2024,Foodservice,Corrections,Corrections,Breads & Bakery,685.8281266,36937.29893,3205109.521,669.6629223,671.7924678,529.7679364,149.1196096,14.03565881,0,2.134334554,0.105358915,100.8464494,0,58.16729454,0,506.4115478,4.132271597,0,1231.886813,522.3281871,1754.215,3.461810373,26.00544182,29.4672522,13155730.54,1119654.113
2024,Foodservice,Corrections,Corrections,Dairy & Eggs,1024.707398,55188.64277,4101000.623,1000.554693,1003.736483,913.9877639,128.5109624,20.97091511,0,3.188945339,0.157418537,150.676385,0,86.90873812,0,756.6380547,6.174096852,0,4370.943106,300.060947,4671.004053,56.53850699,14.38425896,70.92276595,290916137.9,1672894.139
2024,Foodservice,Corrections,Corrections,Dry Goods,2253.340476,121360.3052,8221071.423,2200.228468,2207.225252,1681.780664,272.9020651,46.11522463,0,7.01251852,0.34616473,331.3386803,0,191.1130706,0,1663.853659,13.57689265,0,6237.022816,1157.877349,7394.900165,20.69558197,57.35617117,78.05175314,276827589.5,3678708.753
